contrast_name,annotation,Test description,Reference description,Experiment_id,Data source,Platform
GSM1206678.ch1-vs-GSM1206678.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_BLOOD.HIV-:+1,test_GSE49760_H37Rv_grown_in_HIV-_blood_96h,ref_GSE49760_H37Rv_Grown_in_7H9_control,GSE49760,GEO,GPL4057
GSM1349754.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_WR99210:30µM_WR99210.TIME:1440min,test_GSE55979_H37Rv_30uM_WR9910_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349753.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_WR99210:30µM_WR99210.TIME:1440min,test_GSE55979_H37Rv_30uM_WR9910_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349751.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_DIMETHYLMETHOTREXATE:10µM_DIMETHYLMETHOTREXATE.TIME:1440min,test_GSE55979_H37Rv_10uM_dimethylmethotrexate_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349748.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_DIETHYLMETHOTREXATE:20µM_DIETHYLMETHOTREXATE.TIME:1440min,test_GSE55979_H37Rv_20uM_diethylmethotrexate_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349755.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_WR99210:30µM_WR99210.TIME:1440min,test_GSE55979_H37Rv_30uM_WR9910_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349745.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1,test_GSE55979_H37Rv_Untreated,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349752.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_DIMETHYLMETHOTREXATE:10µM_DIMETHYLMETHOTREXATE.TIME:1440min,test_GSE55979_H37Rv_10uM_dimethylmethotrexate_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349746.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1,test_GSE55979_H37Rv_Untreated,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349750.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_DIMETHYLMETHOTREXATE:10µM_DIMETHYLMETHOTREXATE.TIME:1440min,test_GSE55979_H37Rv_10uM_dimethylmethotrexate_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349749.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_DIETHYLMETHOTREXATE:20µM_DIETHYLMETHOTREXATE.TIME:1440min,test_GSE55979_H37Rv_20uM_diethylmethotrexate_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM1349747.ch1-vs-GSM1349744.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_DIETHYLMETHOTREXATE:20µM_DIETHYLMETHOTREXATE.TIME:1440min,test_GSE55979_H37Rv_20uM_diethylmethotrexate_24h,ref_GSE55979_H37Rv_Untreated,GSE55979,GEO,Nimblegen_MTube_12x130K_GPL14824
GSM135574.ch2-vs-GSM135574.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_zur_Rv2359.DELETION:+1,test_GSE5815_H37Rv_furB_mutant,ref_GSE5815_H37Rv,GSE5815,GEO,GPL4057
GSM135584.ch2-vs-GSM135584.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_zur_Rv2359.DELETION:+1,test_GSE5815_H37Rv_furB_mutant,ref_GSE5815_H37Rv,GSE5815,GEO,GPL4057
GSM135563.ch2-vs-GSM135563.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_zur_Rv2359.DELETION:+1,test_GSE5815_H37Rv_furB_mutant,ref_GSE5815_H37Rv,GSE5815,GEO,GPL4057
GSM135578.ch1-vs-GSM135578.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_zur_Rv2359.DELETION:+1,test_GSE5815_H37Rv_furB_mutant,ref_GSE5815_H37Rv,GSE5815,GEO,GPL4057
GSM135570.ch1-vs-GSM135570.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_zur_Rv2359.DELETION:+1,test_GSE5815_H37Rv_furB_mutant,ref_GSE5815_H37Rv,GSE5815,GEO,GPL4057
GSM135571.ch1-vs-GSM135571.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_zur_Rv2359.DELETION:+1,test_GSE5815_H37Rv_furB_mutant,ref_GSE5815_H37Rv,GSE5815,GEO,GPL4057
GSM1412098.ch1-vs-GSM1412098.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.7_ALVEOLAR.A549:+1_MEDIUM.RPMI:+1,test_GSE58466_H37Rv_grown_in_A549_cells_72h,ref_GSE58466_H37Rv_grown_in_7H9_broth_to_log_phase,GSE58466,GEO,GPL4057
GSM1412094.ch1-vs-GSM1412094.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.7_ALVEOLAR.A549:+1_MEDIUM.RPMI:+1,test_GSE58466_H37Rv_grown_in_A549_cells_72h,ref_GSE58466_H37Rv_grown_in_7H9_broth_to_log_phase,GSE58466,GEO,GPL4057
GSM1412096.ch1-vs-GSM1412096.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.7_ALVEOLAR.A549:+1_MEDIUM.RPMI:+1,test_GSE58466_H37Rv_grown_in_A549_cells_72h,ref_GSE58466_H37Rv_grown_in_7H9_broth_to_log_phase,GSE58466,GEO,GPL4057
GSM1412097.ch2-vs-GSM1412097.ch1,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.7_ALVEOLAR.A549:+1_MEDIUM.RPMI:+1,test_GSE58466_H37Rv_grown_in_A549_cells_72h,ref_GSE58466_H37Rv_grown_in_7H9_broth_to_log_phase,GSE58466,GEO,GPL4057
GSM1412099.ch2-vs-GSM1412099.ch1,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.7_ALVEOLAR.A549:+1_MEDIUM.RPMI:+1,test_GSE58466_H37Rv_grown_in_A549_cells_72h,ref_GSE58466_H37Rv_grown_in_7H9_broth_to_log_phase,GSE58466,GEO,GPL4057
GSM1412095.ch2-vs-GSM1412095.ch1,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.7_ALVEOLAR.A549:+1_MEDIUM.RPMI:+1,test_GSE58466_H37Rv_grown_in_A549_cells_72h,ref_GSE58466_H37Rv_grown_in_7H9_broth_to_log_phase,GSE58466,GEO,GPL4057
GSM143402.ch2-vs-GSM143402.ch1,STRAIN.H37Rv:1_OD600:0.2_TIME:240min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_4h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143406.ch2-vs-GSM143406.ch1,STRAIN.H37Rv:1_OD600:0.2_TIME:1440min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_24h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143399.ch2-vs-GSM143399.ch1,STRAIN.H37Rv:1_OD600:0.2_TIME:240min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_4h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143404.ch2-vs-GSM143404.ch1,STRAIN.H37Rv:1_OD600:0.2_TIME:1440min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_24h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143408.ch2-vs-GSM143408.ch1,STRAIN.H37Rv:1_OD600:0.2_TIME:1440min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_24h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM206719.ch2-vs-GSM206719.ch1,STRAIN.H37Rv:1_OD600:0.2_TIME:240min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_4h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143400.ch1-vs-GSM143400.ch2,STRAIN.H37Rv:1_OD600:0.2_TIME:240min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_4h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143401.ch1-vs-GSM143401.ch2,STRAIN.H37Rv:1_OD600:0.2_TIME:240min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_4h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143403.ch1-vs-GSM143403.ch2,STRAIN.H37Rv:1_OD600:0.2_TIME:240min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_4h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143405.ch1-vs-GSM143405.ch2,STRAIN.H37Rv:1_OD600:0.2_TIME:1440min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_24h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM143407.ch1-vs-GSM143407.ch2,STRAIN.H37Rv:1_OD600:0.2_TIME:1440min_MACROPHAGE.THP-1:+1_MEDIUM.DMEM:+1,test_GSE6209_H37Rv_24h_after_infection,ref_GSE6209_H37Rv_control_grown_in_7H9_media,GSE6209,GEO,GPL4057
GSM1160264.ch1-vs-GSM1160264.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_PLASMID.pFRA42A:1_PLASMID.pFRA42B:1_ANHYDROTETRACYCLINE:100ng/ml_ESX-3.DELETION:+1,test_GSE47834_H37Rv_TB79_esx-3_mutant,ref_GSE47834_H37Rv_TB38_control,GSE47834,GEO,GPL4057
GSM1160265.ch1-vs-GSM1160265.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_PLASMID.pFRA42A:1_PLASMID.pFRA42B:1_ANHYDROTETRACYCLINE:100ng/ml_ESX-3.DELETION:+1,test_GSE47834_H37Rv_TB79_esx-3_mutant,ref_GSE47834_H37Rv_TB38_control,GSE47834,GEO,GPL4057
GSM1160266.ch1-vs-GSM1160266.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_PLASMID.pFRA42A:1_PLASMID.pFRA42B:1_ANHYDROTETRACYCLINE:100ng/ml_ESX-3.DELETION:+1,test_GSE47834_H37Rv_TB79_esx-3_mutant,ref_GSE47834_H37Rv_TB38_control,GSE47834,GEO,GPL4057
GSM1160267.ch1-vs-GSM1160267.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_PLASMID.pFRA42A:1_PLASMID.pFRA42B:1_ANHYDROTETRACYCLINE:100ng/ml_ESX-3.DELETION:+1,test_GSE47834_H37Rv_TB79_esx-3_mutant,ref_GSE47834_H37Rv_TB38_control,GSE47834,GEO,GPL4057
GSM1668944.ch1-vs-GSM1668944.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_DTT:1mM_DTT.TIME:180min,test_GSE68350_H37Rv_Treated_with_1mM_DTT_3h,ref_GSE68350_H37Rv_untreated,GSE68350,GEO,GPL4057
GSM1668942.ch1-vs-GSM1668942.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_DTT:1mM_DTT.TIME:180min,test_GSE68350_H37Rv_Treated_with_1mM_DTT_3h,ref_GSE68350_H37Rv_untreated,GSE68350,GEO,GPL4057
GSM1668945.ch1-vs-GSM1668945.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_DTT:1mM_DTT.TIME:180min,test_GSE68350_H37Rv_Treated_with_1mM_DTT_3h,ref_GSE68350_H37Rv_untreated,GSE68350,GEO,GPL4057
GSM1668943.ch1-vs-GSM1668943.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_DTT:1mM_DTT.TIME:180min,test_GSE68350_H37Rv_Treated_with_1mM_DTT_3h,ref_GSE68350_H37Rv_untreated,GSE68350,GEO,GPL4057
GSM1668946.ch1-vs-GSM1668946.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_DTT:1mM_DTT.TIME:180min,test_GSE68350_H37Rv_Treated_with_1mM_DTT_3h,ref_GSE68350_H37Rv_untreated,GSE68350,GEO,GPL4057
GSM1668941.ch1-vs-GSM1668941.ch2,GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_DTT:1mM_DTT.TIME:180min,test_GSE68350_H37Rv_Treated_with_1mM_DTT_3h,ref_GSE68350_H37Rv_untreated,GSE68350,GEO,GPL4057
GSM155426.ch2-vs-GSM155426.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_H37Rv_treated_with_0.05%_SDS_90min,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155428.ch2-vs-GSM155428.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_H37Rv_treated_with_0.05%_SDS_90min,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155424.ch2-vs-GSM155424.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_H37Rv_treated_with_0.05%_SDS_90min,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155425.ch1-vs-GSM155425.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_H37Rv_treated_with_0.05%_SDS_90min,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155427.ch1-vs-GSM155427.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_H37Rv_treated_with_0.05%_SDS_90min,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155429.ch1-vs-GSM155429.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_H37Rv_treated_with_0.05%_SDS_90min,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155430.ch2-vs-GSM155430.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_mpr_mutant_untreated,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155434.ch2-vs-GSM155434.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_mpr_mutant_untreated,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155432.ch2-vs-GSM155432.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_mpr_mutant_untreated,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155431.ch1-vs-GSM155431.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_mpr_mutant_untreated,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155433.ch1-vs-GSM155433.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_mpr_mutant_untreated,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155435.ch1-vs-GSM155435.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_mpr_mutant_untreated,ref_GSE6750_H37Rv_untreated_control,GSE6750,GEO,GPL4057
GSM155436.ch2-vs-GSM155436.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:1_mprB_Rv0982.DELETION:1_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_Rv-D981__mpr_mutant_treated_with_0.05%SDS_90min,ref_GSE6750_Rv-D981_untreated_control,GSE6750,GEO,GPL4057
GSM155438.ch2-vs-GSM155438.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:1_mprB_Rv0982.DELETION:1_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_Rv-D981__mpr_mutant_treated_with_0.05%SDS_90min,ref_GSE6750_Rv-D981_untreated_control,GSE6750,GEO,GPL4057
GSM155440.ch2-vs-GSM155440.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:1_mprB_Rv0982.DELETION:1_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_Rv-D981__mpr_mutant_treated_with_0.05%SDS_90min,ref_GSE6750_Rv-D981_untreated_control,GSE6750,GEO,GPL4057
GSM155437.ch1-vs-GSM155437.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:1_mprB_Rv0982.DELETION:1_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_Rv-D981__mpr_mutant_treated_with_0.05%SDS_90min,ref_GSE6750_Rv-D981_untreated_control,GSE6750,GEO,GPL4057
GSM155439.ch1-vs-GSM155439.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:1_mprB_Rv0982.DELETION:1_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_Rv-D981__mpr_mutant_treated_with_0.05%SDS_90min,ref_GSE6750_Rv-D981_untreated_control,GSE6750,GEO,GPL4057
GSM155441.ch1-vs-GSM155441.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:1_mprB_Rv0982.DELETION:1_SDS:0.05vol%_SDS.TIME:90min,test_GSE6750_Rv-D981__mpr_mutant_treated_with_0.05%SDS_90min,ref_GSE6750_Rv-D981_untreated_control,GSE6750,GEO,GPL4057
GSM155446.ch2-vs-GSM155446.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_treated_with_0.05%SDS_90min,ref_GSE6750_H37Rv_treated_with_0.05%SDS_90min,GSE6750,GEO,GPL4057
GSM155444.ch2-vs-GSM155444.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_treated_with_0.05%SDS_90min,ref_GSE6750_H37Rv_treated_with_0.05%SDS_90min,GSE6750,GEO,GPL4057
GSM155442.ch2-vs-GSM155442.ch1,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_treated_with_0.05%SDS_90min,ref_GSE6750_H37Rv_treated_with_0.05%SDS_90min,GSE6750,GEO,GPL4057
GSM155445.ch1-vs-GSM155445.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_treated_with_0.05%SDS_90min,ref_GSE6750_H37Rv_treated_with_0.05%SDS_90min,GSE6750,GEO,GPL4057
GSM155447.ch1-vs-GSM155447.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_treated_with_0.05%SDS_90min,ref_GSE6750_H37Rv_treated_with_0.05%SDS_90min,GSE6750,GEO,GPL4057
GSM155443.ch1-vs-GSM155443.ch2,MEDIUM.7H9:1_GROWTH.EXPONENTIAL:1_STRAIN.H37Rv:1_OD600:0.4_mprA_Rv0981.DELETION:+1_mprB_Rv0982.DELETION:+1,test_GSE6750_Rv-D981_treated_with_0.05%SDS_90min,ref_GSE6750_H37Rv_treated_with_0.05%SDS_90min,GSE6750,GEO,GPL4057
GSM197147.ch1-vs-GSM197147.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_OD600:0.2_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_grown_in_7H9_media,ref_GSE7962_H37Rv_grown_in_7H9_media,GSE7962,GEO,GPL4057
GSM197148.ch1-vs-GSM197148.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_OD600:0.2_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_grown_in_7H9_media,ref_GSE7962_H37Rv_grown_in_7H9_media,GSE7962,GEO,GPL4057
GSM197151.ch1-vs-GSM197151.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_OD600:0.2_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_grown_in_7H9_media,ref_GSE7962_H37Rv_grown_in_7H9_media,GSE7962,GEO,GPL4057
GSM197150.ch1-vs-GSM197150.ch2,MEDIUM.7H9:1_STRAIN.H37Rv:1_OD600:0.2_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_grown_in_7H9_media,ref_GSE7962_H37Rv_grown_in_7H9_media,GSE7962,GEO,GPL4057
GSM197149.ch2-vs-GSM197149.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_OD600:0.2_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_grown_in_7H9_media,ref_GSE7962_H37Rv_grown_in_7H9_media,GSE7962,GEO,GPL4057
GSM197152.ch2-vs-GSM197152.ch1,MEDIUM.7H9:1_STRAIN.H37Rv:1_OD600:0.2_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_grown_in_7H9_media,ref_GSE7962_H37Rv_grown_in_7H9_media,GSE7962,GEO,GPL4057
GSM197154.ch1-vs-GSM197154.ch2,STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_maintained_2h_in_RPMI,ref_GSE7962_H37Rv_maintained_2h_in_RPMI,GSE7962,GEO,GPL4057
GSM197153.ch1-vs-GSM197153.ch2,STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_maintained_2h_in_RPMI,ref_GSE7962_H37Rv_maintained_2h_in_RPMI,GSE7962,GEO,GPL4057
GSM197157.ch1-vs-GSM197157.ch2,STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_maintained_2h_in_RPMI,ref_GSE7962_H37Rv_maintained_2h_in_RPMI,GSE7962,GEO,GPL4057
GSM197155.ch2-vs-GSM197155.ch1,STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_maintained_2h_in_RPMI,ref_GSE7962_H37Rv_maintained_2h_in_RPMI,GSE7962,GEO,GPL4057
GSM197158.ch2-vs-GSM197158.ch1,STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_maintained_2h_in_RPMI,ref_GSE7962_H37Rv_maintained_2h_in_RPMI,GSE7962,GEO,GPL4057
GSM197156.ch2-vs-GSM197156.ch1,STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_sigE_mutant_maintained_2h_in_RPMI,ref_GSE7962_H37Rv_maintained_2h_in_RPMI,GSE7962,GEO,GPL4057
GSM197159.ch1-vs-GSM197159.ch2,MACROPHAGE.THP-1:1_STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_SigE_mutant_24h_after_infection_in_THP1,ref_GSE7962_H37Rv_24h_after_infection_in_THP1,GSE7962,GEO,GPL4057
GSM197163.ch1-vs-GSM197163.ch2,MACROPHAGE.THP-1:1_STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_SigE_mutant_24h_after_infection_in_THP1,ref_GSE7962_H37Rv_24h_after_infection_in_THP1,GSE7962,GEO,GPL4057
GSM197162.ch1-vs-GSM197162.ch2,MACROPHAGE.THP-1:1_STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_SigE_mutant_24h_after_infection_in_THP1,ref_GSE7962_H37Rv_24h_after_infection_in_THP1,GSE7962,GEO,GPL4057
GSM197160.ch2-vs-GSM197160.ch1,MACROPHAGE.THP-1:1_STRAIN.H37Rv:1_MEDIUM.RPMI:1_sigE_Rv1221.DELETION:+1,test_GSE7962_H37Rv_SigE_mutant_24h_after_infection_in_THP1,ref_GSE7962_H37Rv_24h_after_infection_in_THP1,GSE7962,GEO,GPL4057
